Ê±¼ä,A,B,C,D,E
1921,-2.684661618,-0.425175993,0.279600318,-0.464755891,-0.252644082
1922,-3.216432587,-0.314748282,-0.415235895,-1.109059065,0.37505984
1923,-1.201262245,-0.24204402,-0.185144197,0.333785241,0.209143785
1924,-2.315721646,-0.088967755,0.717000451,0.082627644,0.188054385
1925,-1.720834799,-0.030256611,0.049149112,0.247889517,0.174192746
1926,-2.227897913,0.840676875,-0.432402748,-0.089500512,0.07848807
1927,-2.328631276,0.076485509,0.379402714,0.141857036,0.227023121
1928,-2.304357317,-0.052278771,-0.33147805,-0.266516157,0.009047647
1929,-2.801895499,1.416019275,-0.208986046,-0.243807435,0.3015126
1930,-2.116260589,-0.18057852,0.772594399,0.23924376,0.024676176
1931,-2.837550404,0.667313188,0.127026402,-0.031510882,0.115026513
1932,-1.970793337,0.263312825,0.304312774,0.319661493,0.07745962
1933,-0.89664178,-0.163413061,-0.037597825,0.442268693,0.192171291
1934,-2.205157891,-0.038504944,0.33992512,0.060490903,0.043138452
1935,-2.268082465,0.998567873,-0.299893915,0.073972217,0.004097492
1936,-1.259415898,0.54628947,-0.271679289,0.271366502,-0.031318063
1937,-1.403856203,-0.224746011,0.224577738,0.270382449,0.066131181
1938,-1.81625251,-0.136222769,0.258836793,0.11332069,-0.137975792
1939,-1.346469846,0.072702537,-0.035052265,0.267783648,0.014470231
1940,-2.330361932,0.779659258,0.227356594,0.253776893,0.095665509
1941,-2.179496346,-0.212690831,0.191315643,-0.129639481,-0.097141855
1942,-2.208900332,-0.248575962,0.427372094,-0.0817668,-0.218370487
1943,-2.106494273,0.03887547,0.390426674,0.195053515,-0.17161788
1944,-1.760917963,0.306871156,-0.103697616,0.200470393,-0.081106412
1945,-2.213057268,0.815185841,-0.559378333,-0.25010057,0.042813576
1946,-2.236977288,-0.493632664,-0.297684669,-0.513850066,-0.347494966
1947,-2.14865872,-0.101401762,0.335321443,0.062410577,-0.178996219
1948,-2.047215091,-0.312581197,0.156373296,-0.044796921,-0.21850714
1949,-1.626616253,-0.217981388,-0.170868464,-0.004995695,-0.234982205
1950,-1.587693115,0.07361405,0.224334497,0.2119923,-0.050142835
1951,-1.755691045,-0.172027499,-0.162351719,-0.062474447,-0.180965174
1952,-1.766633484,0.192871341,-0.35809041,-0.047970774,-0.170644687
1953,-1.613850777,-0.254155971,-0.087366776,-0.034504118,-0.230253579
1954,-1.073030504,-0.157173631,-0.47460055,0.055467567,-0.132588424
1955,-0.789626846,-0.164540262,-0.347703357,0.203524188,-0.098854335
1956,-0.254688812,-0.623406713,-0.292713085,0.189394786,-0.020510764
1957,-0.077880569,-0.611903614,-0.387133496,0.182433834,-0.027648727
1958,-0.07328216,-0.710164326,-0.32789395,0.139637708,-0.019399314
1959,-0.032361624,-0.533457157,-0.459512967,0.169467406,-0.019073644
1960,-0.023745905,-0.543770574,-0.292100906,0.189928083,0.037153343
1961,-0.040494431,-0.620445565,-0.286324147,0.11731971,-0.000973302
1962,0.146295026,-0.606369078,-0.152341934,0.207137529,0.082105192
1963,0.275708377,-0.702136716,-0.266139887,0.167580834,0.103186366
1964,0.326545233,-0.505633254,-0.268428792,0.229086596,0.139502169
1965,0.493457134,-0.51149006,-0.09776698,0.21029402,0.147756558
1966,0.610433141,-0.485363598,-0.013054548,0.143382288,0.138043856
1967,0.716620277,-0.561961651,-0.030700287,0.129320824,0.077756407
1968,0.689485609,-0.416523876,-0.102081974,0.060946267,0.078858294
1969,0.804658649,-0.436734513,-0.032802943,-0.028828617,0.016930568
1970,0.85930106,-0.485524571,-0.008683052,0.002332488,0.057089038
1971,0.840014544,-0.366309642,-0.081270758,-0.003733173,0.035974756
1972,0.869163425,-0.453149676,-0.0060261,0.020901278,0.090847487
1973,0.968614623,-0.359421754,0.028720287,-0.011985579,0.052840363
1974,0.816735918,-0.356469542,0.021951287,-0.012695225,0.064520344
1975,0.905505102,-0.296286057,0.014026639,-0.009417602,0.048603741
1976,0.992156709,-0.184372104,0.061815988,-0.069898701,0.036538042
1977,1.031531457,-0.202054827,0.128256853,-0.13097512,0.049044175
1978,1.04883228,-0.124558639,0.14077512,-0.130133145,0.0626828
1979,1.087309928,-0.007034726,0.165914736,-0.201114439,0.098941508
1980,1.111263275,-0.11557557,0.235424045,-0.204967872,0.077871833
1981,1.081111232,-0.171092802,0.213347609,-0.228596786,0.052366179
1982,1.091865647,-0.03794623,0.177012096,-0.204650432,0.077659648
1983,1.094829523,-0.004641832,0.158407492,-0.23655803,0.049132862
1984,1.131784192,-0.113005084,0.163782593,-0.291968417,0.037137502
1985,1.130972194,-0.155950088,0.207289868,-0.268710261,0.051674421
1986,1.13724742,-0.033958929,0.165510769,-0.258508799,0.014315642
1987,1.141139891,-0.205896176,0.098477982,-0.236071344,0.019132904
1988,1.114128279,-0.07922752,0.05136741,-0.211339348,0.029330972
1989,1.123177821,-0.105895181,0.084968969,-0.207622915,0.034752457
1990,1.140733647,-0.075164694,0.049767609,-0.179559655,-0.015393117
1991,1.141291435,-0.016901699,-0.009046556,-0.097112127,0.039604054
1992,1.195052648,0.028703928,0.01806196,-0.087124578,0.053580154
1993,1.187314377,0.068744449,-0.007948756,-0.137808215,0.036432428
1994,1.255431916,0.084031394,0.0140918,-0.099857019,-0.014283252
1995,1.257158796,0.139564907,0.005569953,-0.081187461,-0.010883766
1996,1.263291059,0.210626457,0.019686624,-0.024339393,0.032186669
1997,1.25979633,0.2097192,-0.012996207,0.021129564,0.006917308
1998,1.295193737,0.301798083,0.017375564,-0.010064173,0.001506138
1999,1.359769627,0.378542376,0.047674516,0.001191492,0.01330222
2000,1.327132006,0.253626759,0.050995037,0.039045497,0.019038528
2001,1.39530696,0.293094105,0.056552247,0.018399238,0.008117176
2002,1.412121626,0.226080106,0.121197772,0.04242073,-0.005135691
2003,1.445105823,0.356900254,0.12444908,-0.011682758,-0.038359361
2004,1.428657242,0.341086909,0.084717125,0.037776037,-0.032869117
2005,1.473875121,0.370135875,0.095455362,0.002783836,-0.030989068
2006,1.473896288,0.241976698,0.117656405,0.042177545,-0.049242045
2007,1.516270719,0.285967369,0.162433785,-0.020700866,-0.07622212
2008,1.533254258,0.225255144,0.216940866,-0.019610248,-0.040885081
2009,1.522292401,0.315928773,0.144124584,0.003662331,-0.071574177
2010,1.577568515,0.337969372,0.179397886,-0.035059493,-0.055864767
2011,1.541671459,0.340058668,0.088152157,-0.023891759,-0.120699232
2012,1.580906303,0.288144637,0.120155712,-0.033885615,-0.135870218
2013,1.560061258,0.401634626,0.014835898,0.001555817,-0.133537729
2014,1.611256277,0.29459022,0.077263266,-0.009242292,-0.126335766
2015,1.60380679,0.372377088,-0.040059965,0.035273228,-0.145334462
2016,1.535406385,0.39186609,-0.210660033,0.105714274,-0.136161587
2017,1.548493662,0.400210458,-0.301441887,0.118146301,-0.129533696
2018,1.610766404,0.576728391,-0.286759608,0.186912444,-0.043482355
2019,1.598255405,0.501237902,-0.348750175,0.188727157,-3.48349E-05
2020,1.578824125,0.72645104,-0.246679898,0.142725904,0.02329499
